Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q8. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q9. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q10. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q11. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q12. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q13. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q14. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q15. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q16. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q17. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q18. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q19. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q20. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q21. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q22. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q23. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q24. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q25. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q26. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Normal;Confortável;Confortável;Confortável;Normal;Normal;Confortável;Normal;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Normal;Confortável;Confortável;Confortável
Feminino;40 até 49 anos;Superior Completo;Sim;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito desconfortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável
Feminino;50 até 59 anos;Pós-Graduação Completa;Sim;Muito confortável;Normal;Desconfortável;Desconfortável;Desconfortável;Desconfortável;Desconfortável;Normal;Desconfortável;Muito confortável;Desconfortável;Desconfortável;Desconfortável;Desconfortável;Muito confortável;Desconfortável;Normal;Desconfortável;Confortável;Desconfortável
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Normal;Confortável;Confortável;Confortável;Normal;Normal;Confortável;Normal;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Normal;Confortável;Confortável;Confortável
Masculino;30 até 39 anos;Pós-Graduação Completa;Não;Confortável;Normal;Confortável;Normal;Normal;Normal;Normal;Normal;Confortável;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Completo;Sim;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Muito confortável;Muito confortável;Confortável;Confortável;Muito confortável;Confortável
Masculino;21 até 29 anos;Superior Incompleto;Sim;Confortável;Confortável;Confortável;Normal;Confortável;Desconfortável;Normal;Desconfortável;Normal;Normal;Confortável;Normal;Normal;Confortável;Normal;Confortável;Normal;Confortável;Confortável;Confortável
Masculino;21 até 29 anos;Superior Incompleto;Sim;Confortável;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;50 até 59 anos;Pós-Graduação Completa;Não;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Incompleto;Sim;Muito confortável;Confortável;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Completo;Sim;Desconfortável;Normal;Confortável;Desconfortável;Muito desconfortável;Desconfortável;Confortável;Confortável;Confortável;Desconfortável;Muito desconfortável;Desconfortável;Desconfortável;Desconfortável;Muito confortável;Desconfortável;Desconfortável;Desconfortável;Normal;Desconfortável
Masculino;21 até 29 anos;Superior Completo;Não;Normal;Confortável;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Confortável;Normal;Confortável;Confortável;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Completo;Não;Normal;Desconfortável;Desconfortável;Muito desconfortável;Muito desconfortável;Muito desconfortável;Desconfortável;Normal;Normal;Desconfortável;Desconfortável;Desconfortável;Muito desconfortável;Normal;Normal;Desconfortável;Muito desconfortável;Desconfortável;Normal;Desconfortável
Feminino;Acima de 60 anos;Pós-Graduação Completa;Sim;Normal;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Normal;Normal;Confortável;Confortável;Normal;Desconfortável;Confortável;Muito confortável;Muito confortável;Confortável;Desconfortável;Confortável;Normal
Feminino;18 até 20 anos;Superior Incompleto;Sim;Desconfortável;Desconfortável;Confortável;Normal;Normal;Normal;Normal;Confortável;Confortável;Confortável;Confortável;Normal;Normal;Confortável;Confortável;Muito confortável;Confortável;Confortável;Confortável;Confortável
